driver,corr_584,p_584,corr_793,p_793
Info usefulness (combined A & B),.05988941,.62237221,-.022567352,.85288715
Magnesium: muscle recovery importance,.19592546,.10932145,-.25049302,.039370384
Magnesium: cramp reduction importance,.26781195,.027244747,-.16932388,.16746846
Magnesium: blood sugar importance,-.089471795,.46809527,-.10974775,.37297222
Magnesium: bone health importance,.1255435,.31139883,-.10162888,.41316584
Magnesium: sleep/relaxation importance,.27503383,.025418177,-.084698856,.49893519
