test,outcome,group_variable,group_1,group_2,N_1,N_2,mean_1,mean_2,diff_1_minus_2,sd_1,sd_2,se_diff,t_stat,df,p_value_two_tailed,ci_low,ci_high
Information effect: Day 1 Product 584 by gender,info_eff_584,gender,Male,Female,33,35,.0303030303030303,.0428571428571429,-.0125541125541126,.5439926748615557,.5767738440904638,.135912905901379,-.0923688039105139,65.99990215363928,.9266848293645492,-.2839129920621803,.2588047669539551
Information effect: Day 1 Product 793 by gender,info_eff_793,gender,Male,Female,33,35,-.7272727272727273,-.3714285714285714,-.3558441558441559,.8181620894086052,.5952366946762234,.1743776664872831,-2.040652125999786,58.2541307150549,.0458259672212393,-.7048665616344539,-.0068217500538579
Information effect: Day 2 Product 356 by gender,info_eff_356,gender,Male,Female,36,36,.0416666666666667,-.3194444444444444,.3611111111111111,.5361902647381804,1.015260542055077,.1913587358466617,1.887089761088692,53.11522363495734,.0646183651947778,-.0226864714101602,.7449086936323824
Information effect: Day 2 Product 831 by gender,info_eff_831,gender,Male,Female,36,36,.0972222222222222,-.1111111111111111,.2083333333333333,.592445831694395,.5620258142407837,.1361030123926848,1.53070332295254,69.80640026836987,.13036215012768,-.0631288017776931,.4797954684443596
Information effect: Day 1 Product 584 by physical activity,info_eff_584,active_3plus,Fewer than 3 days per week,3 or more days per week,25,43,.09,.0058139534883721,.0841860465116279,.6530377732821688,.4984749721860693,.1511187451802918,.5570853993737838,40.36715869923649,.5805450113881729,-.2211498194204601,.3895219124437159
Information effect: Day 1 Product 793 by physical activity,info_eff_793,active_3plus,Fewer than 3 days per week,3 or more days per week,25,43,-.5600000000000001,-.5348837209302325,-.0251162790697675,.7613037063704164,.7187567708766737,.1876100997067127,-.1338748772535772,47.96020362914746,.8940617182811943,-.4023397528032821,.3521071946637471
Information effect: Day 2 Product 356 by physical activity,info_eff_356,active_3plus,Fewer than 3 days per week,3 or more days per week,30,42,-.2583333333333334,-.0535714285714286,-.2047619047619048,.9858554252730113,.6908277870489035,.209188814159385,-.9788377336748647,48.67507874063956,.3325003061738293,-.6252135577116077,.2156897481877981
Information effect: Day 2 Product 831 by physical activity,info_eff_831,active_3plus,Fewer than 3 days per week,3 or more days per week,30,42,-.125,.0773809523809524,-.2023809523809524,.6457753959922641,.5252412199556831,.1430712897588609,-1.414546221831471,54.30525154361294,.1629099019893798,-.4891846963105068,.0844227915486019
