sample,N,mean,diff_from_250,se,t_stat,df,p_value,ci_low,ci_high
Both days,140,3.039285714285714,.5392857142857141,.0569135623125025,9.475522043842378,139,9.71320207436e-17,.4267574866600417,.6518139419113866
Day 1,68,3.066176470588236,.5661764705882359,.0840719176152688,6.734430314521685,67,4.51222437261e-09,.3983682206892329,.733984720487239
Day 2,72,3.013888888888889,.5138888888888888,.0775405783907091,6.627354342129367,71,5.62181696110e-09,.3592773668678207,.6685004109099569
