product,dependent_var,sample_day,model_role,term,coefficient,N,beta,se,t_stat,p_value,ci_low,ci_high,r2
584,info_eff_584,Day 1,Main H2 model,Female,2.gender,68,-.0318049078763223,.1459704918348967,-.2178858718397413,.8282698648675282,-.3238911873752215,.260281371622577,.0728501734368517
584,info_eff_584,Day 1,Main H2 model,Three or more exercise days,1.active_3plus,68,-.0925545451188249,.1586565581909909,-.5833641305101782,.561871639987049,-.4100255847623897,.2249164945247399,.0728501734368517
584,info_eff_584,Day 1,Main H2 model,High sweetness importance,1.sweet_high,68,.162492520592683,.1365097819466548,1.190336093688742,.2386818397217006,-.1106629221464103,.4356479633317763,.0728501734368517
584,info_eff_584,Day 1,Main H2 model,High low-to-moderate sugar importance,1.sugar_lowmod_high,68,.1287624929460735,.1443559719638424,.8919789821949682,.3760277033988191,-.1600931397530144,.4176181256451614,.0728501734368517
584,info_eff_584,Day 1,Main H2 model,Selected Lemon Lime flavor,1.flavor_pref1_5,68,-.1767699061046814,.1535849910581288,-1.150958208134918,.2543926735136626,-.4840927633557248,.130552951146362,.0728501734368517
584,info_eff_584,Day 1,Main H2 model,High functional ingredient importance,1.ingred_high,68,.069255977650744,.1582582230267612,.4376137702432873,.6632641260307559,-.2474179951702672,.3859299504717552,.0728501734368517
584,info_eff_584,Day 1,Main H2 model,High health-claim importance,1.health_high,68,-.1295881554057745,.1371792877075849,-.9446626934089944,.3486837457605395,-.4040832760780924,.1449069652665433,.0728501734368517
584,info_eff_584,Day 1,Main H2 model,High magnesium knowledge,1.magn_know_high,68,-.087038192234495,.1515741161603641,-.574228598122976,.5679960405434249,-.3903372981091975,.2162609136402075,.0728501734368517
584,info_eff_584,Day 1,Main H2 model,Constant,_cons,68,.1459169782960798,.2694466727523867,.5415430697493639,.5901725513606368,-.3932445685227076,.6850785251148672,.0728501734368517
793,info_eff_793,Day 1,Supporting model,Female,2.gender,68,.3623252304271892,.201839699734226,1.795113800230003,.0777578626928452,-.0415550758557204,.7662055367100988,.1531900260639416
793,info_eff_793,Day 1,Supporting model,Three or more exercise days,1.active_3plus,68,.200074262382295,.1970914143651487,1.015134337671452,.3141867244953337,-.1943047468232469,.5944532715878369,.1531900260639416
793,info_eff_793,Day 1,Supporting model,High sweetness importance,1.sweet_high,68,-.2924301814740233,.1792662010831803,-1.631262221807971,.1081621031409697,-.6511410212889088,.0662806583408622,.1531900260639416
793,info_eff_793,Day 1,Supporting model,High low-to-moderate sugar importance,1.sugar_lowmod_high,68,.1850651102652237,.1898523345894427,.9747844853497777,.3336470074805732,-.1948285337675182,.5649587542979656,.1531900260639416
793,info_eff_793,Day 1,Supporting model,Selected Lemon Lime flavor,1.flavor_pref1_5,68,.0272255036849588,.2248013794147378,.1211091486886753,.9040161058924988,-.4226010175117982,.4770520248817158,.1531900260639416
793,info_eff_793,Day 1,Supporting model,High functional ingredient importance,1.ingred_high,68,-.3606159738623859,.1877185085553356,-1.921046446818981,.0595616835185046,-.736239841863235,.0150078941384632,.1531900260639416
793,info_eff_793,Day 1,Supporting model,High health-claim importance,1.health_high,68,-.1266010351365849,.1889490717631864,-.6700272933611259,.5054544683566783,-.504687254428789,.2514851841556192,.1531900260639416
793,info_eff_793,Day 1,Supporting model,High magnesium knowledge,1.magn_know_high,68,.1122064627816027,.1792803327995849,.6258715667771367,.5338129699342881,-.2465326545324929,.4709455800956983,.1531900260639416
793,info_eff_793,Day 1,Supporting model,Constant,_cons,68,-.5932930949350675,.3733719365860237,-1.589013626358538,.1174022502030386,-1.340408614351566,.153822424481431,.1531900260639416
356,info_eff_356,Day 2,Supporting model,Female,2.gender,72,-.2704372807650721,.1905366758219419,-1.419345013753667,.1607275483798652,-.65119444489719,.1103198833670458,.1314871271999077
356,info_eff_356,Day 2,Supporting model,Three or more exercise days,1.active_3plus,72,.1617090616244881,.2647118432741645,.6108871428808892,.5434721079740625,-.3672753468756712,.6906934701246473,.1314871271999077
356,info_eff_356,Day 2,Supporting model,High sweetness importance,1.sweet_high,72,-.1618145697631147,.1797652192775931,-.9001439233539441,.3714716764037963,-.5210466955806601,.1974175560544306,.1314871271999077
356,info_eff_356,Day 2,Supporting model,High low-to-moderate sugar importance,1.sugar_lowmod_high,72,-.1775879192056063,.230467175207321,-.77055623667819,.4438501548609302,-.6381398191426269,.2829639807314142,.1314871271999077
356,info_eff_356,Day 2,Supporting model,Selected Blueberry flavor,1.flavor_pref1_1,72,.3861463949356138,.1776455202125082,2.173690586025962,.0334941755966911,.0311501496977709,.7411426401734567,.1314871271999077
356,info_eff_356,Day 2,Supporting model,High functional ingredient importance,1.ingred_high,72,.1890944130599581,.2762221380612455,.6845737071879121,.4961237691980336,-.3628914841695903,.7410803102895065,.1314871271999077
356,info_eff_356,Day 2,Supporting model,High health-claim importance,1.health_high,72,-.0384320021373748,.2236242442456919,-.171859729552178,.8640986702100841,-.4853093957041015,.4084453914293519,.1314871271999077
356,info_eff_356,Day 2,Supporting model,High magnesium knowledge,1.magn_know_high,72,-.2702678222793014,.2536555820820986,-1.065491325130097,.2907201793043345,-.7771580557906568,.2366224112320539,.1314871271999077
356,info_eff_356,Day 2,Supporting model,Constant,_cons,72,.0964279717780255,.2846539157747475,.3387551213394547,.7359206990623907,-.4724074887019367,.6652634322579878,.1314871271999077
831,info_eff_831,Day 2,Supporting model,Female,2.gender,72,-.1144924770792014,.1343485344467627,-.8522048829983366,.3973284899662898,-.3829666002924116,.1539816461340088,.0949269652695256
831,info_eff_831,Day 2,Supporting model,Three or more exercise days,1.active_3plus,72,.1681760938745861,.1755819072495192,.9578213183183578,.341814252032318,-.1826963499152445,.5190485376644167,.0949269652695256
831,info_eff_831,Day 2,Supporting model,High sweetness importance,1.sweet_high,72,-.2076496373956211,.1486248236077292,-1.397139672600576,.1672732639573547,-.5046526480359401,.0893533732446979,.0949269652695256
831,info_eff_831,Day 2,Supporting model,High low-to-moderate sugar importance,1.sugar_lowmod_high,72,-.0983445098477036,.1515416674608349,-.6489601935594393,.5187229268031986,-.4011763678158861,.2044873481204789,.0949269652695256
831,info_eff_831,Day 2,Supporting model,Selected Pineapple flavor,1.flavor_pref1_7,72,.0129354582730076,.15746715895282,.0821470226492325,.9347902382016757,-.3017375495779705,.3276084661239858,.0949269652695256
831,info_eff_831,Day 2,Supporting model,High functional ingredient importance,1.ingred_high,72,.0872602536103387,.2800526903727115,.3115851288348894,.7563846327687813,-.4723803916034587,.6469008988241362,.0949269652695256
831,info_eff_831,Day 2,Supporting model,High health-claim importance,1.health_high,72,-.1076309989286885,.2448389797631265,-.4395991154383093,.6617317851529421,-.5969026585787595,.3816406607213824,.0949269652695256
831,info_eff_831,Day 2,Supporting model,High magnesium knowledge,1.magn_know_high,72,.0732690191066156,.1613412452708828,.454124541952066,.6512998996246442,-.2491457324989723,.3956837707122035,.0949269652695256
831,info_eff_831,Day 2,Supporting model,Constant,_cons,72,.0884035773871479,.2412794078417856,.3663950362689752,.7152979572016235,-.393754845378489,.5705620001527848,.0949269652695256
