product,dependent_var,sample_day,term,coefficient,N,beta,se,t_stat,p_value,ci_low,ci_high,r2
584,info_eff_584,Day 1,Information-first path,1.info_first,68,-.2938976186648028,.1379113851627338,-2.131061321137534,.0371907896432793,-.569761462036789,-.0180337752928165,.1325647394127497
584,info_eff_584,Day 1,High sweetness importance,1.sweet_high,68,.1278306237258667,.1291216972077465,.9900011112787453,.326149328371631,-.1304512259735735,.3861124734253069,.1325647394127497
584,info_eff_584,Day 1,High low-to-moderate sugar importance,1.sugar_lowmod_high,68,.0750972355258468,.1508049026833407,.4979760882412129,.6203212778606475,-.2265574828607122,.3767519539124058,.1325647394127497
584,info_eff_584,Day 1,Selected Lemon Lime flavor,1.flavor_pref1_5,68,-.1865789354049424,.1474386877926133,-1.26546795958591,.2105958882170504,-.4815002214771473,.1083423506672626,.1325647394127497
584,info_eff_584,Day 1,High functional ingredient importance,1.ingred_high,68,.054011476792541,.1483212422762118,.364151998484195,.7170246894583161,-.242675181091015,.350698134676097,.1325647394127497
584,info_eff_584,Day 1,High health-claim importance,1.health_high,68,-.1090723130119184,.1418560670005051,-.7688942413124286,.4449722588846293,-.3928266948725378,.174682068848701,.1325647394127497
584,info_eff_584,Day 1,High magnesium knowledge,1.magn_know_high,68,-.1691423483796302,.1511058297080655,-1.119363486547217,.2674462571757973,-.4713990104383314,.133114313679071,.1325647394127497
584,info_eff_584,Day 1,Constant,_cons,68,.3320333265612592,.2063303632965295,1.609231531687242,.112815231897536,-.0806888497561999,.7447555028787184,.1325647394127497
793,info_eff_793,Day 1,Information-first path,1.info_first,68,-.4406668105867701,.1618392590481337,-2.722867202794771,.0084617260814399,-.7643935279771537,-.1169400931963865,.1716057988278371
793,info_eff_793,Day 1,High sweetness importance,1.sweet_high,68,-.2954179278655735,.1778715446647593,-1.660849847694065,.1019610702056441,-.6512139912568038,.0603781355256568,.1716057988278371
793,info_eff_793,Day 1,High low-to-moderate sugar importance,1.sugar_lowmod_high,68,.164912871722348,.1690726697185188,.9753963901847871,.3332799590987913,-.1732828212777417,.5031085647224377,.1716057988278371
793,info_eff_793,Day 1,Selected Lemon Lime flavor,1.flavor_pref1_5,68,-.0277091162536015,.2084370371421232,-.1329375845747989,.8946875905369295,-.4446452676760961,.3892270351688931,.1716057988278371
793,info_eff_793,Day 1,High functional ingredient importance,1.ingred_high,68,-.3967348510036004,.1885112762172069,-2.104568272862752,.0395263825433149,-.7738135462460081,-.0196561557611927,.1716057988278371
793,info_eff_793,Day 1,High health-claim importance,1.health_high,68,-.0215933041006737,.1945802820479312,-.110973752702006,.9120075499226153,-.410811818488071,.3676252102867237,.1716057988278371
793,info_eff_793,Day 1,High magnesium knowledge,1.magn_know_high,68,.0394222669480634,.1736921572197768,.2269663039430242,.8212214876069703,-.3080137768396147,.3868583107357415,.1716057988278371
793,info_eff_793,Day 1,Constant,_cons,68,.0182587650769822,.278095497630207,.0656564569817721,.9478696184944904,-.5380150531446929,.5745325832986573,.1716057988278371
356,info_eff_356,Day 2,Information-first path,1.info_first,72,-.7233365902183491,.1850709576949916,-3.908428417009937,.0002268487790444,-1.093058330558609,-.3536148498780895,.2717099721386432
356,info_eff_356,Day 2,High sweetness importance,1.sweet_high,72,-.1949685342546814,.1590741130494415,-1.225645898739562,.2248231102021516,-.5127556071278354,.1228185386184726,.2717099721386432
356,info_eff_356,Day 2,High low-to-moderate sugar importance,1.sugar_lowmod_high,72,-.0531486792707717,.1799117910630314,-.2954152085126609,.7686330221639064,-.4125637994387981,.3062664408972546,.2717099721386432
356,info_eff_356,Day 2,Selected Blueberry flavor,1.flavor_pref1_1,72,.3424484636713182,.1630046007609236,2.100851522427776,.0395981959195624,.0168093389410051,.6680875884016313,.2717099721386432
356,info_eff_356,Day 2,High functional ingredient importance,1.ingred_high,72,.1338225155903468,.1862643186275283,.7184549170576837,.475091642395828,-.2382832372731455,.5059282684538391,.2717099721386432
356,info_eff_356,Day 2,High health-claim importance,1.health_high,72,.0699631598908563,.2060852990180448,.339486417634915,.7353548634337449,-.3417395532764202,.4816658730581329,.2717099721386432
356,info_eff_356,Day 2,High magnesium knowledge,1.magn_know_high,72,-.3028772123614742,.2038408056559221,-1.485851723293926,.1422279916690209,-.7100960345803191,.1043416098573707,.2717099721386432
356,info_eff_356,Day 2,Constant,_cons,72,.3817006048768527,.1898377111405295,2.010667967832243,.0485778348934088,.002456179823621,.7609450299300844,.2717099721386432
831,info_eff_831,Day 2,Information-first path,1.info_first,72,-.4959221116092409,.1238574547766388,-4.003974669942745,.0001645992959649,-.7433558219248446,-.2484884012936372,.2333932131041684
831,info_eff_831,Day 2,High sweetness importance,1.sweet_high,72,-.2288578027735686,.1459677278454855,-1.56786576150467,.1218438940481725,-.5204618612638692,.062746255716732,.2333932131041684
831,info_eff_831,Day 2,High low-to-moderate sugar importance,1.sugar_lowmod_high,72,-.0026916981681942,.1446457294314669,-.0186089017544726,.9852109950498648,-.2916547612238488,.2862713648874604,.2333932131041684
831,info_eff_831,Day 2,Selected Pineapple flavor,1.flavor_pref1_7,72,.0091825686070666,.143533159058822,.0639752421480771,.9491893422117679,-.27755787962264,.2959230168367732,.2333932131041684
831,info_eff_831,Day 2,High functional ingredient importance,1.ingred_high,72,.0513167503071722,.2069708299516526,.2479419458247307,.804973116124913,-.3621550142659884,.4647885148803328,.2333932131041684
831,info_eff_831,Day 2,High health-claim importance,1.health_high,72,-.0128280141295638,.2004635019275964,-.0639917691061639,.9491762342925785,-.4132998965386948,.3876438682795671,.2333932131041684
831,info_eff_831,Day 2,High magnesium knowledge,1.magn_know_high,72,.031643851306009,.1483543808286044,.2132990689541384,.8317717137647104,-.2647280946232339,.3280157972352519,.2333932131041684
831,info_eff_831,Day 2,Constant,_cons,72,.3415399273939115,.1950810880855013,1.750758778032955,.084779322250461,-.048179347271056,.7312592020588791,.2333932131041684
