product,dependent_var,sample_day,term,coefficient,N,beta,se,t_stat,p_value,ci_low,ci_high,r2
584,taste_eff_584,Day 1,High sweetness importance,1.sweet_high,68,-.4608066863158387,.1749573151317209,-2.633823489854706,.0106848153217187,-.8106554600206195,-.1109579126110579,.1658887941231596
584,taste_eff_584,Day 1,High low-to-moderate sugar importance,1.sugar_lowmod_high,68,.1531460084974215,.2040699209322424,.7504585085240012,.4558636809202848,-.2549170183867426,.5612090353815856,.1658887941231596
584,taste_eff_584,Day 1,Selected Lemon Lime flavor,1.flavor_pref1_5,68,.0411922207861452,.1790495437591141,.2300604621565722,.8188145452941272,-.3168394697971626,.399223911369453,.1658887941231596
584,taste_eff_584,Day 1,High functional ingredient importance,1.ingred_high,68,-.3113427937086948,.1888271538282157,-1.648824268102547,.1043249662037892,-.6889260239910621,.0662404365736725,.1658887941231596
584,taste_eff_584,Day 1,High health-claim importance,1.health_high,68,-.1123314000673454,.1977785548966643,-.5679655214693854,.5721431421708185,-.5078140630449314,.2831512629102406,.1658887941231596
584,taste_eff_584,Day 1,High magnesium knowledge,1.magn_know_high,68,.4528159447853772,.2078619560516569,2.178445509638355,.0332472088543393,.0371702750413028,.8684616145294516,.1658887941231596
584,taste_eff_584,Day 1,Constant,_cons,68,-.2242628244626871,.239725195934317,-.9354995981487634,.3532197078103646,-.70362298017048,.2550973312451058,.1658887941231596
793,taste_eff_793,Day 1,High sweetness importance,1.sweet_high,68,.1365268003382513,.1627755504291229,.8387426734440622,.4048885661478234,-.1889630293603557,.4620166300368583,.0996078335944454
793,taste_eff_793,Day 1,High low-to-moderate sugar importance,1.sugar_lowmod_high,68,-.2225360575665655,.16993283315643,-1.309553035943984,.1952580789914024,-.5623377586111727,.1172656434780417,.0996078335944454
793,taste_eff_793,Day 1,Selected Lemon Lime flavor,1.flavor_pref1_5,68,.1193698747409609,.178118290946639,.6701719071441233,.5052774808436156,-.2367996607549288,.4755394102368506,.0996078335944454
793,taste_eff_793,Day 1,High functional ingredient importance,1.ingred_high,68,.1989303589815788,.1880104606325194,1.058081333944515,.2941904765030008,-.1770197923249693,.5748805102881269,.0996078335944454
793,taste_eff_793,Day 1,High health-claim importance,1.health_high,68,.2649235986533072,.180806825116455,1.465230079023145,.1479937273969884,-.0966219931776113,.6264691904842257,.0996078335944454
793,taste_eff_793,Day 1,High magnesium knowledge,1.magn_know_high,68,-.3420509808952525,.1763535309166035,-1.939575460255493,.0570593602266646,-.6946916606132267,.0105896988227218,.0996078335944454
793,taste_eff_793,Day 1,Constant,_cons,68,.1160444991331822,.2619211719441119,.4430512366443728,.6592959752403482,-.4076992536957784,.6397882519621427,.0996078335944454
356,taste_eff_356,Day 2,High sweetness importance,1.sweet_high,72,-.1597770579834031,.2404028806765032,-.664622060824663,.5086433623715698,-.639894764269087,.3203406483022807,.0862275174550328
356,taste_eff_356,Day 2,High low-to-moderate sugar importance,1.sugar_lowmod_high,72,.1638647668502619,.2793243320250736,.5866469478768951,.5594728422200708,-.393984445373287,.7217139790738107,.0862275174550328
356,taste_eff_356,Day 2,Selected Blueberry flavor,1.flavor_pref1_1,72,.054103230658024,.250529038750653,.2159559264180627,.8296983731979211,-.4462378097839141,.5544442710999622,.0862275174550328
356,taste_eff_356,Day 2,High functional ingredient importance,1.ingred_high,72,.5094771902544324,.3034506230374738,1.678945935766017,.0979640934865351,-.0965555523388781,1.115509932847743,.0862275174550328
356,taste_eff_356,Day 2,High health-claim importance,1.health_high,72,-.0208067109570207,.2397177753287513,-.0867966963588168,.931099945304851,-.4995561673814671,.4579427454674257,.0862275174550328
356,taste_eff_356,Day 2,High magnesium knowledge,1.magn_know_high,72,-.248884350807876,.2599608851365928,-.9573915347961028,.3419171694465818,-.7680620892133047,.2702933875975527,.0862275174550328
356,taste_eff_356,Day 2,Constant,_cons,72,-.2796517425949219,.2284066080308261,-1.224359246897006,.2252358310066614,-.735811238020518,.1765077528306742,.0862275174550328
831,taste_eff_831,Day 2,High sweetness importance,1.sweet_high,72,.2583247879859457,.185745830100742,1.390743403746073,.1690463324188649,-.1126352506339865,.6292848266058779,.1365212179198625
831,taste_eff_831,Day 2,High low-to-moderate sugar importance,1.sugar_lowmod_high,72,-.2699053086197979,.2212365311516698,-1.21998526741844,.2268784236872702,-.7117451717039459,.1719345544643501,.1365212179198625
831,taste_eff_831,Day 2,Selected Pineapple flavor,1.flavor_pref1_7,72,-.1380043008911337,.1948631873172237,-.7082112470349379,.4813461244453717,-.527172959232453,.2511643574501856,.1365212179198625
831,taste_eff_831,Day 2,High functional ingredient importance,1.ingred_high,72,.3274198079947528,.2586488296316548,1.265885519223248,.2100725016637551,-.1891375746238498,.8439771906133554,.1365212179198625
831,taste_eff_831,Day 2,High health-claim importance,1.health_high,72,.1197751532900893,.1997292145960401,.5996876998306887,.5507991999630512,-.2791116325930237,.5186619391732022,.1365212179198625
831,taste_eff_831,Day 2,High magnesium knowledge,1.magn_know_high,72,-.5509985653200979,.2391977141837074,-2.303527720573963,.0244569085292565,-1.028709387917095,-.0732877427231005,.1365212179198625
831,taste_eff_831,Day 2,Constant,_cons,72,-.0718766553418359,.2506105682016646,-.2868061624759465,.7751730042421471,-.5723805213410398,.4286272106573679,.1365212179198625
