test,group,label,N,mean,sd,se,pval,ci_lo,ci_hi
wtp_2b_584,Male,"WTP for 584, tasting first",19,2.8684211,.72345823,.16597269,.029227156,2.5197253,3.2171168
wtp_2b_584,Female,"WTP for 584, tasting first",13,2.2692308,.73215961,.20306455,.029227156,1.8267912,2.7116704
wtp_3b_info_584,Male,"WTP for 584 after information, tasting first",19,2.9078948,.67294198,.15438347,.4370093,2.5835471,3.2322423
wtp_3b_info_584,Female,"WTP for 584 after information, tasting first",13,2.6730769,1.0174755,.28219694,.4370093,2.0582225,3.2879312
wtp_2a_info_584,Male,"WTP for 584, information first",14,3.0535715,.69461232,.18564294,.92622131,2.6525142,3.4546287
wtp_2a_info_584,Female,"WTP for 584, information first",22,3.034091,.55256683,.11780764,.92622131,2.7890966,3.2790854
wtp_3a_584,Male,"WTP for 584 after tasting, information first",14,2.5892856,1.0588779,.28299704,.41596094,1.9779078,3.2006636
wtp_3a_584,Female,"WTP for 584 after tasting, information first",22,2.8181818,.61325544,.1307465,.41596094,2.5462797,3.0900841
wtp_2b_793,Male,"WTP for 793, tasting first",19,2.9473684,.82739109,.18981653,.25590575,2.5485787,3.3461583
wtp_2b_793,Female,"WTP for 793, tasting first",13,2.6153846,.74732429,.20727046,.25590575,2.1637812,3.0669882
wtp_3b_info_793,Male,"WTP for 793 after information, tasting first",19,2.3815789,1.0420613,.23906526,.40550113,1.8793215,2.8838365
wtp_3b_info_793,Female,"WTP for 793 after information, tasting first",13,2.6538463,.61693513,.17110702,.40550113,2.2810359,3.0266564
wtp_2a_info_793,Male,"WTP for 793, information first",14,2.0892856,.96877772,.25891674,.075469166,1.5299301,2.6486413
wtp_2a_info_793,Female,"WTP for 793, information first",22,2.590909,.67500198,.14391091,.075469166,2.29163,2.8901882
wtp_3a_793,Male,"WTP for 793 after tasting, information first",14,2.875,.63359475,.16933532,.84132147,2.5091734,3.2408266
wtp_3a_793,Female,"WTP for 793 after tasting, information first",22,2.9204545,.67430019,.14376128,.84132147,2.6214867,3.2194226
