test,label,N,mean,diff,se,t,df,pval,ci_lo,ci_hi
wtp_1_all,Baseline willingness to pay,140,3.0392857,.53928572,.056913562,9.475522,139,9.7132021e-17,2.9267576,3.151814
wtp_1_day1,Baseline willingness to pay,68,3.0661764,.56617647,.084071919,6.7344303,67,4.5122244e-09,2.8983681,3.2339847
wtp_1_day2,Baseline willingness to pay,72,3.0138888,.5138889,.077540576,6.6273541,71,5.6218168e-09,2.8592772,3.1685004
