test,label,N,mean,diff,se,t,df,pval,ci_lo,ci_hi
wtp_2b_356,"WTP for 356, tasting first",37,2.7567568,.25675675,.1395397,1.8400265,36,.074020796,2.473757,3.0397563
wtp_2b_831,"WTP for 831, tasting first",37,2.5675676,.067567565,.1220172,.55375439,36,.58317029,2.3201053,2.8150299
wtp_3b_info_356,"WTP for 356 after information, tasting first",37,2.9797297,.47972974,.14413534,3.3283281,36,.0020236627,2.6874096,3.2720497
wtp_3b_info_831,"WTP for 831 after information, tasting first",37,2.8108108,.3108108,.14381826,2.1611359,36,.037413452,2.5191338,3.1024878
wtp_2a_info_356,"WTP for 356, information first",35,2.5357144,.035714287,.14426824,.24755473,34,.80596787,2.2425261,2.8289027
wtp_2a_info_831,"WTP for 831, information first",35,2.7857144,.2857143,.091177441,3.1336074,34,.0035452498,2.6004195,2.971009
wtp_3a_356,"WTP for 356 after tasting, information first",35,2.3785715,-.12142857,.15589651,-.77890503,34,.44142342,2.0617516,2.6953912
wtp_3a_831,"WTP for 831 after tasting, information first",35,2.5928571,.092857145,.14890558,.6235975,34,.53705341,2.2902446,2.8954697
