bev,path,group,N,mean_pre,mean_post,diff,sd_diff,se,pval,ci_lo,ci_hi
584,tastefirst_info,Low exercise,10,2.4749999,2.7750001,.30000001,.43779752,.13844374,.058403295,-.013181478,.61318147
584,infofirst_taste,Low exercise,15,3.1333334,3.0166667,-.11666667,.71255744,.18398154,.53622586,-.51126784,.27793449
584,tastefirst_info,High exercise,22,2.6931818,2.8295455,.13636364,.50431043,.10751934,.21858183,-.087235078,.35996234
584,infofirst_taste,High exercise,21,2.9761906,2.5238094,-.45238096,.92066228,.20090498,.035737924,-.87146139,-.033300504
793,tastefirst_info,Low exercise,10,2.3499999,2.0999999,-.25,.56519419,.17873009,.19538902,-.65431553,.15431555
793,infofirst_taste,Low exercise,15,2.4166667,2.8499999,.43333334,.73476589,.18971574,.038491085,.026433531,.84023315
793,tastefirst_info,High exercise,22,3.0227273,2.6704545,-.35227272,.70144022,.14954756,.028291931,-.66327393,-.041271552
793,infofirst_taste,High exercise,21,2.3809524,2.9404762,.55952382,.7154752,.15612949,.0018572621,.2338434,.8852042
