test,label,N,mean,diff,se,t,df,pval,ci_lo,ci_hi
wtp_2b_584,"WTP for 584, tasting first",32,2.625,.125,.13702263,.91225803,31,.36867312,2.3455405,2.9044595
wtp_2b_793,"WTP for 793, tasting first",32,2.8125,.3125,.14154604,2.2077622,31,.034790084,2.5238149,3.1011851
wtp_3b_info_584,"WTP for 584 after information, tasting first",32,2.8125,.3125,.14549692,2.1478117,31,.03965655,2.5157571,3.1092429
wtp_3b_info_793,"WTP for 793 after information, tasting first",32,2.4921875,-.0078125,.15774861,-.049525,31,.96081865,2.1704571,2.8139179
wtp_2a_info_584,"WTP for 584, information first",36,3.0416667,.54166669,.10034662,5.3979564,35,4.8046036e-06,2.8379521,3.2453811
wtp_2a_info_793,"WTP for 793, information first",36,2.3958333,-.10416666,.1377883,-.75599068,35,.45471317,2.1161082,2.6755586
wtp_3a_584,"WTP for 584 after tasting, information first",36,2.7291667,.22916667,.13487759,1.6990715,35,.098179124,2.4553506,3.0029826
wtp_3a_793,"WTP for 793 after tasting, information first",36,2.9027777,.40277779,.10832316,3.718298,35,.00069926662,2.6828701,3.1226854
