bev,path,group,N,mean_pre,mean_post,diff,sd_diff,se,pval,ci_lo,ci_hi
356,tastefirst_info,Low exercise,14,2.3392856,2.5535715,.21428572,.37796447,.10101525,.053691339,-.0039444752,.43251589
356,infofirst_taste,Low exercise,16,2.484375,2.09375,-.390625,1.2075069,.30187672,.21523888,-1.03406,.25281
356,tastefirst_info,High exercise,23,3.0108695,3.2391305,.22826087,.45796639,.095492594,.025825933,.030221358,.42630038
356,infofirst_taste,High exercise,19,2.5789473,2.6184211,.039473683,.80907679,.18561494,.83397859,-.35048884,.42943621
831,tastefirst_info,Low exercise,14,2.375,2.5714285,.19642857,.46179596,.12342016,.13550144,-.070204467,.4630616
831,infofirst_taste,Low exercise,16,2.75,2.609375,-.140625,.98305964,.24576491,.57566708,-.66446048,.38321051
831,tastefirst_info,High exercise,23,2.6847825,2.9565217,.27173913,.39824218,.083039239,.0034824337,.099526294,.44395196
831,infofirst_taste,High exercise,19,2.8157895,2.5789473,-.23684211,.49633157,.11386627,.052088071,-.47606626,.0023820549
