beverage,path,group,N,mean_pre,mean_post,diff,sd_diff,se_diff,pval,ci_lo,ci_hi
584,tastefirst_info,Low/neutral,8,2.3125,2.34375,.03125,.6999681,.2474761,.90306485,-.55393797,.61643797
584,tastefirst_info,High,24,2.7291667,2.96875,.23958333,.39341846,.080306202,.0066445,.073457293,.40570939
584,infofirst_taste,Low/neutral,7,3.3571429,1.7857143,-1.5714285,.82555896,.31203195,.0023659335,-2.3349433,-.80791384
584,infofirst_taste,High,29,2.9655173,2.9568965,-.0086206896,.50657624,.09406884,.92763472,-.20131198,.1840706
793,tastefirst_info,Low/neutral,5,2.5999999,2.5,-.1,.54772258,.24494897,.704,-.78008735,.58008736
793,tastefirst_info,High,27,2.8518519,2.4907408,-.3611111,.67344314,.12960419,.0098232692,-.62751633,-.094705887
793,infofirst_taste,Low/neutral,5,2.1500001,2.5,.34999999,1.0839741,.48476797,.51024926,-.99593168,1.6959317
793,infofirst_taste,High,31,2.4354839,2.967742,.53225809,.6606245,.11865167,.000099032572,.28993905,.77457708
