coef_name,coef_label,plot_order,b,se,p,ci_lo,ci_hi
2.h2_path,Info-first path,1,-.4201203719360291,.13188724,.0017846065,-.6808849,-.15935585
1.female#1.exercise_hi,Female x High exercise,2,.0861199873979662,.28488788,.76287955,-.47715399,.64939398
1.exercise_hi,High exercise,3,-.092383049177038,.22442298,.68123221,-.53610718,.35134107
1.female,Female respondent,4,-.1765801559816871,.21732524,.41788524,-.60627079,.25311047
