model,model_label,coef_name,coef_label,coef_id,plot_order,y_plot,b,se,p,ci_lo,ci_hi
d2_product_premium_3a,Info-first: 3a,1.female,Female respondent,1,1,1.16,-1.9610707,.81855863,.025114924,-3.6543882,-.26775315
d2_product_premium_3a,Info-first: 3a,1.exercise_hi,High exercise,2,1,1,-.91742116,.64790207,.17017983,-2.2577088,.42286643
d2_product_premium_3a,Info-first: 3a,1.female#1.exercise_hi,Female x High exercise,3,1,.84,1.7734681,.98777384,.085739061,-.26989782,3.816834
d2_product_premium_3b,Taste-first: 3b,1.female,Female respondent,1,2,2.16,-.58349007,.96568215,.55113804,-2.5723498,1.4053695
d2_product_premium_3b,Taste-first: 3b,1.exercise_hi,High exercise,2,2,2,-.51038522,.66901135,.45266521,-1.8882399,.86746943
d2_product_premium_3b,Taste-first: 3b,1.female#1.exercise_hi,Female x High exercise,3,2,1.84,1.7009716,1.1085947,.13750319,-.58222175,3.984165
